Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,2021
Clinical Trial Data Sharing for COVID-19-Related Research,"Dron, Louis; Dillman, Alison; Zoratti, Michael J.; Haggstrom, Jonas; Mills, Edward J.; Park, Jay J. H.",,,,JOURNAL OF MEDICAL INTERNET RESEARCH,MAR 11 2021,2021,23,3,,,,,,e26718,10.2196/26718,,,0,0,0
Providing open-label placebos remotely-A randomized controlled trial in allergic rhinitis,"Kube, Tobias; Hofmann, Verena E.; Glombiewski, Julia A.; Kirsch, Irving",,,,PLOS ONE,MAR 11 2021,2021,16,3,,,,,,e0248367,10.1371/journal.pone.0248367,,,0,0,0
"Feasibility and Initial Outcomes of a Group-Based Teletherapy Psychiatric Day Program for Adults With Serious Mental Illness: Open, Nonrandomized Trial in the Context of COVID-19","Puspitasari, Ajeng J.; Heredia, Dagoberto; Coombes, Brandon J.; Geske, Jennifer R.; Gentry, Melanie T.; Moore, Wendy R.; Sawchuk, Craig N.; Schak, Kathryn M.",,,,JMIR MENTAL HEALTH,MAR 11 2021,2021,8,3,,,,,,e25542,10.2196/25542,,,0,0,0
A Pragmatic Non-Randomized Trial of Prehabilitation Prior to Cancer Surgery: Study Protocol and COVID-19-Related Adaptations,"Santa Mina, Daniel; Sellers, Daniel; Au, Darren; Alibhai, Shabbir M. H.; Clarke, Hance; Cuthbertson, Brian H.; Darling, Gail; El Danab, Alaa; Govindarajan, Anand; Ladha, Karim; Matthew, Andrew G.; McCluskey, Stuart; Ng, Karen A.; Quereshy, Fayez; Karkouti, Keyvan; Randall, Ian M.",,,,FRONTIERS IN ONCOLOGY,MAR 10 2021,2021,11,,,,,,,629207,10.3389/fonc.2021.629207,,,0,0,0
Brief videoconferencing psychological intervention for reducing COVID-19 related distress: study protocol for a randomized controlled trial,"Keyan, Dharani; Dawson, Katie; Azevado, Suzanna; Yadav, Srishti; Tran, Jenny; Bryant, Richard A.",,,,BMC PUBLIC HEALTH,MAR 9 2021,2021,21,1,,,,,,474,10.1186/s12889-021-10529-x,,,0,0,0
A pilot double-blind safety and feasibility randomized controlled trial of high-dose intravenous zinc in hospitalized COVID-19 patients,"Patel, Oneel; Chinni, Vidyasagar; El-Khoury, John; Perera, Marlon; Neto, Ary S.; McDonald, Christine; See, Emily; Jones, Daryl; Bolton, Damien; Bellomo, Rinaldo; Trubiano, Jason; Ischia, Joseph",,,,JOURNAL OF MEDICAL VIROLOGY,MAY 2021,2021,93,5,,,,3261,3267,,10.1002/jmv.26895,,,0,0,0
"Evaluation of the safety and efficacy of XAV-19 in patients with COVID-19-induced moderate pneumonia: study protocol for a randomized, double-blinded, placebo-controlled phase 2 (2a and 2b) trial","Gaborit, Benjamin; Vanhove, Bernard; Vibet, Marie-Anne; Le Thuaut, Aurelie; Lacombe, Karine; Dubee, Vincent; Ader, Florence; Ferre, Virginie; Vicaut, Eric; Orain, Jeremie; Le Bras, Morgane; Omnes, Anne; Berly, Laetitia; Jobert, Alexandra; Morineau-Le Houssine, Pascale; Botturi, Karine; Josien, Regis; Flet, Laurent; Degauque, Nicolas; Brouard, Sophie; Duvaux, Odile; Poinas, Alexandra; Raffi, Francois",POLYCOR Study Grp,,,TRIALS,MAR 9 2021,2021,22,1,,,,,,199,10.1186/s13063-021-05132-9,,,0,0,0
An open label trial of anakinra to prevent respiratory failure in COVID-19,"Kyriazopoulou, Evdoxia; Panagopoulos, Periklis; Metallidis, Symeon; Dalekos, George N.; Poulakou, Garyphallia; Gatselis, Nikolaos; Karakike, Eleni; Saridaki, Maria; Loli, Georgia; Stefos, Aggelos; Prasianaki, Danai; Georgiadou, Sarah; Tsachouridou, Olga; Petrakis, Vasileios; Tsiakos, Konstantinos; Kosmidou, Maria; Lygoura, Vassiliki; Dareioti, Maria; Milionis, Haralampos; Papanikolaou, Ilias C.; Akinosoglou, Karolina; Myrodia, Dimitra-Melia; Gravvani, Areti; Stamou, Aliki; Gkavogianni, Theologia; Katrini, Konstantina; Marantos, Theodoros; Trontzas, Ioannis P.; Syrigos, Konstantinos; Chatzis, Loukas; Chatzis, Stamatios; Vechlidis, Nikolaos; Avgoustou, Christina; Chalvatzis, Stamatios; Kyprianou, Miltiades; van der Meer, Jos Wm; Eugen-Olsen, Jesper; Netea, Mihai G.; Giamarellos-Bourboulis, Evangelos J.",,,,ELIFE,MAR 8 2021,2021,10,,,,,,,e66125,10.7554/eLife.66125,,,0,0,0
Effect of a mobile-based intervention on mental health in frontline healthcare workers against COVID-19: Protocol for a randomized controlled trial,"Serrano-Ripoll, Maria J.; Ricci-Cabello, Ignacio; Jimenez, Rafael; Zamanillo-Campos, Rocio; Yanez-Juan, Aina M.; Bennasar-Veny, Miquel; Sitges, Carolina; Gervilla, Elena; Leiva, Alfonso; Garcia-Campayo, Javier; Garcia-Buades, M. Esther; Garcia-Toro, Mauro; Pastor-Moreno, Guadalupe; Ruiz-Perez, Isabel; Alonso-Coello, Pablo; Llobera, Joan; Fiol-deRoque, Maria A.",,,,JOURNAL OF ADVANCED NURSING,JUN 2021,2021,77,6,,,,2898,2907,,10.1111/jan.14813,,,0,0,0
Scaling Up Maternal Mental healthcare by Increasing access to Treatment (SUMMIT) through non-specialist providers and telemedicine: a study protocol for a non-inferiority randomized controlled trial,"Singla, D. R.; Meltzer-Brody, S. E.; Silver, R. K.; Vigod, S. N.; Kim, J. J.; La Porte, L. M.; Ravitz, P.; Schiller, C. E.; Schoueri-Mychasiw, N.; Hollon, S. D.; Kiss, A.; Clark, D.; Dalfen, A. K.; Dimidjian, S.; Gaynes, B. N.; Katz, S. R.; Lawson, A.; Leszcz, M.; Maunder, R. G.; Mulsant, B. H.; Murphy, K. E.; Naslund, J. A.; Reyes-Rodriguez, M. L.; Stuebe, A. M.; Dennis, C-L; Patel, V.",,,,TRIALS,MAR 5 2021,2021,22,1,,,,,,186,10.1186/s13063-021-05075-1,,,0,0,0
Discovering treatment effectiveness via median treatment effects-Applications to COVID-19 clinical trials,"Mullahy, John",,,,HEALTH ECONOMICS,MAY 2021,2021,30,5,,,,1050,1069,,10.1002/hec.4233,,,0,0,0
Assessment of the Temporal Trajectory of Clinical Trials for COVID-19 Interventions After Highly Publicized Lay and Medical Attention,"Yehya, Nadir",,,,JAMA NETWORK OPEN,MAR 4 2021,2021,4,3,,,,,,e210689,10.1001/jamanetworkopen.2021.0689,,,0,0,0
Minimizing the Impact of the COVID-19 Epidemic on Oncology Clinical Trials: Retrospective Study of Beijing Cancer Hospital,"Fu, Zhiying; Jiang, Min; Wang, Kun; Li, Jian",,,,JOURNAL OF MEDICAL INTERNET RESEARCH,MAR 2 2021,2021,23,3,,,,,,e26799,10.2196/26799,,,0,0,0
Hydroxychloroquine with or without azithromycin for treatment of early SARS-CoV-2 infection among high-risk outpatient adults: A randomized clinical trial,"Johnston, Christine; Brown, Elizabeth R.; Stewart, Jenell; Karita, Helen C. Stankiewicz; Kissinger, Patricia J.; Dwyer, John; Hosek, Sybil; Oyedele, Temitope; Paasche-Orlow, Michael K.; Paolino, Kristopher; Heller, Kate B.; Leingang, Hannah; Haugen, Harald S.; Dong, Tracy Q.; Bershteyn, Anna; Sridhar, Arun R.; Poole, Jeanne; Noseworthy, Peter A.; Ackerman, Michael J.; Morrison, Susan; Greninger, Alexander L.; Huang, Meei-Li; Jerome, Keith R.; Wener, Mark H.; Wald, Anna; Schiffer, Joshua T.; Celum, Connie; Chu, Helen Y.; Barnabas, Ruanne, V; Baeten, Jared M.",COVID-19 Early Treatment Study Tea,,,ECLINICALMEDICINE,MAR 2021,2021,33,,,,,,,100773,10.1016/j.eclinm.2021.100773,,,0,0,0
"Community-Integrated Intermediary Care (CIIC) Service Model to Enhance Family-Based, Long-Term Care for Older People: Protocol for a Cluster Randomized Controlled Trial in Thailand","Aung, Myo Nyein; Moolphate, Saiyud; Yuasa, Motoyuki; Aung, Thin Nyein Nyein; Koyanagi, Yuka; Supakankunti, Siripen; Ahmad, Ishtiaq; Kayano, Ryoma; Ong, Paul",,,,JMIR RESEARCH PROTOCOLS,MAR 2021,2021,10,3,,,,,,e20196,10.2196/20196,,,0,0,0
Telerehabilitation Intervention in Patients with COVID-19 after Hospital Discharge to Improve Functional Capacity and Quality of Life. Study Protocol for a Multicenter Randomized Clinical Trial,"Pastora-Bernal, Jose-Manuel; Estebanez-Perez, Maria-Jose; Molina-Torres, Guadalupe; Garcia-Lopez, Francisco-Jose; Sobrino-Sanchez, Raquel; Martin-Valero, Rocio",,,,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,MAR 2021,2021,18,6,,,,,,2924,10.3390/ijerph18062924,,,0,0,0
"The Plasma-Lyte 148 versus Saline (PLUS) statistical analysis plan: a multicentre, randomised controlled trial of the effect of intensive care fluid therapy on mortality","Billot, Laurent; Bellomo, Rinaldo; Gallagher, Martin; Gattas, David; Hammond, Naomi E.; Mackle, Diane; Micallef, Sharon; Myburgh, John; Navarra, Leanlove; Saxena, Manoj; Taylor, Colman; Young, Paul J.; Finfer, Simon",PLUS Study Investigators; ANZICS Clinical Trials Grp,,,CRITICAL CARE AND RESUSCITATION,MAR 2021,2021,23,1,,,,24,+,,,,,0,0,0
Community Health Workers as a Strategy to Tackle Psychosocial Suffering Due to Physical Distancing: A Randomized Controlled Trial,"Vanden Bossche, Dorien; Lagaert, Susan; Willems, Sara; Decat, Peter",,,,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,MAR 2021,2021,18,6,,,,,,3097,10.3390/ijerph18063097,,,0,0,0
Clinical trial preparations for the next pandemic,"Herson, Jay",,,,CONTEMPORARY CLINICAL TRIALS,MAR 2021,2021,102,,,,,,,106292,10.1016/j.cct.2021.106292,,,0,0,0
Study protocol for testing the association between physical activity and academic outcomes utilizing a cluster-randomized trial,"Boedeker, Peter; Turner, Lindsey; Calvert, Hannah; Kay, Christi; Meyer, Adria; Truett, Chuck; Gazmararian, Julie",,,,CONTEMPORARY CLINICAL TRIALS COMMUNICATIONS,MAR 2021,2021,21,,,,,,,100747,10.1016/j.conctc.2021.100747,,,0,0,0
Effects of neuromuscular electrical stimulation therapy on physical function in patients with COVID-19 associated pneumonia: Study protocol of a randomized controlled trial,"Minetto, Marco A.; Dal Fior, Sabrina; Busso, Chiara; Caironi, Pietro; Massazza, Giuseppe; Maffiuletti, Nicola A.; Gamna, Federica",,,,CONTEMPORARY CLINICAL TRIALS COMMUNICATIONS,MAR 2021,2021,21,,,,,,,100742,10.1016/j.conctc.2021.100742,,,0,0,0
Development and Characterization of Inhaled Ethanol as a Novel Pharmacological Strategy Currently Evaluated in a Phase II Clinical Trial for Early-Stage SARS-CoV-2 Infection,"Castro-Balado, Ana; Mondelo-Garcia, Cristina; Barbosa-Pereira, Letricia; Varela-Rey, Iria; Novo-Veleiro, Ignacio; Vazquez-Agra, Nestor; Antunez-Lopez, Jose Ramon; Bandin-Vilar, Enrique Jose; Sendon-Garcia, Raquel; Busto-Iglesias, Manuel; Rodriguez-Bernaldo de Quiros, Ana; Garcia-Quintanilla, Laura; Gonzalez-Barcia, Miguel; Zarra-Ferro, Irene; Otero-Espinar, Francisco J.; Rey-Bretal, David; Lago-Quinteiro, Jose Ramon; Valdes-Cuadrado, Luis; Rabade-Castedo, Carlos; del Rio-Garma, Maria Carmen; Crespo-Diz, Carlos; Delgado-Sanchez, Olga; Aguiar, Pablo; Barbeito-Castineiras, Gema; Perez del Molino-Bernal, Maria Luisa; Trastoy-Pena, Rocio; Passannante, Rossana; Llop, Jordi; Pose-Reino, Antonio; Fernandez-Ferreiro, Anxo",,,,PHARMACEUTICS,MAR 2021,2021,13,3,,,,,,342,10.3390/pharmaceutics13030342,,,0,0,0
"A Descriptive-Multivariate Analysis of Community Knowledge, Confidence, and Trust in COVID-19 Clinical Trials among Healthcare Workers in Uganda","Kasozi, Keneth Iceland; Laudisoit, Anne; Osuwat, Lawrence Obado; Batiha, Gaber El-Saber; Al Omairi, Naif E.; Aigbogun, Eric; Ninsiima, Herbert Izo; Usman, Ibe Michael; DeTora, Lisa M.; MacLeod, Ewan Thomas; Nalugo, Halima; Crawley, Francis P.; Bierer, Barbara E.; Mwandah, Daniel Chans; Kato, Charles Drago; Kiyimba, Kenedy; Ayikobua, Emmanuel Tiyo; Lillian, Linda; Matama, Kevin; Nelly Mak, Shui Ching; Onanyang, David; Pius, Theophilus; Nalumenya, David Paul; Ssebuufu, Robinson; Rugambwa, Nina Olivia; Musoke, Grace Henry; Bardosh, Kevin; Ochieng, Juma John; Ssempijja, Fred; Kyamanywa, Patrick; Tumwine, Gabriel; Alzahrani, Khalid J.; Welburn, Susan Christina",,,,VACCINES,MAR 2021,2021,9,3,,,,,,253,10.3390/vaccines9030253,,,0,0,0
Remote Monitoring of Critically-Ill Post-Surgical Patients: Lessons from a Biosensor Implementation Trial,"Restrepo, Mariana; Huffenberger, Ann Marie; Hanson, C. William, III; Draugelis, Michael; Laudanski, Krzysztof",,,,HEALTHCARE,MAR 2021,2021,9,3,,,,,,343,10.3390/healthcare9030343,,,0,0,0
Outcome Reporting Bias in COVID-19 mRNA Vaccine Clinical Trials,"Brown, Ronald B.",,,,MEDICINA-LITHUANIA,MAR 2021,2021,57,3,,,,,,199,10.3390/medicina57030199,,,0,0,0
An internet-based self-help intervention for people with psychological distress due to COVID-19: study protocol for a randomized controlled trial,"Brog, Noemi Anja; Hegy, Julia Katharina; Berger, Thomas; Znoj, Hansjorg",,,,TRIALS,MAR 1 2021,2021,22,1,,,,,,171,10.1186/s13063-021-05089-9,,,0,0,0
Outcomes of COVID-19 Patients Hospitalized at Acute Care Services Real-World Experience in the New York Metropolitan Area During the Early Pandemic Before Initiation of Clinical Trials,"Marsh, Kassandra; Decano, Arnold; Siegfried, Justin; Ahmed, Nabeela; Blum, Sharon; Tirmizi, Samad; Dong, Mei Qin; Mehta, Dhara; Pham, Vinh P.; Papadopoulos, John; Dubrovskaya, Yanina",,,,INFECTIOUS DISEASES IN CLINICAL PRACTICE,MAR 2021,2021,29,2,,,,E88,E96,,10.1097/IPC.0000000000000982,,,0,0,0
"The effect of Emotional Freedom Techniques on nurses' stress, anxiety, and burnout levels during the COVID-19 pandemic: A randomized controlled trial","Dincer, Berna; Inangil, Demet",,,,EXPLORE-THE JOURNAL OF SCIENCE AND HEALING,MAR-APR 2021,2021,17,2,,,,109,114,,10.1016/j.explore.2020.11.012,,,0,0,0
Recruitment and Results Reporting of COVID-19 Randomized Clinical Trials Registered in the First 100 Days of the Pandemic,"Janiaud, Perrine; Axfors, Cathrine; Ioannidis, John P. A.; Hemkens, Lars G.",,,,JAMA NETWORK OPEN,MAR 1 2021,2021,4,3,,,,,,e210330,10.1001/jamanetworkopen.2021.0330,,,0,0,0
Effect of early treatment with polyvalent immunoglobulin on acute respiratory distress syndrome associated with SARS-CoV-2 infections (ICAR trial): study protocol for a randomized controlled trial,"Mazeraud, Aurelien; Goncalves, Bruno; Aegerter, Philippe; Mancusi, Letizia; Rieu, Christine; Bozza, Fernando; Sylla, Khaoussou; Siami, Shidasp; Sharshar, Tarek",,,,TRIALS,FEB 28 2021,2021,22,1,,,,,,170,10.1186/s13063-021-05118-7,,,0,0,0
"Analysis of clinical and methodological characteristics of early COVID-19 treatment clinical trials: so much work, so many lost opportunities","Mainoli, Beatrice; Machado, Tiago; Duarte, Goncalo S.; Prada, Luisa; Goncalves, Nilza; Ferreira, Joaquim J.; Costa, Joao",,,,BMC MEDICAL RESEARCH METHODOLOGY,FEB 26 2021,2021,21,1,,,,,,42,10.1186/s12874-021-01233-w,,,0,0,0
External validity of phase III trials on vaccines against SARS-CoV-2 to a middle-aged and elderly Western European population,"Terzikhan, Natalie; Hofman, Albert; Goudsmit, Jaap; Ikram, Mohammad Arfan",,,,EUROPEAN JOURNAL OF EPIDEMIOLOGY,MAR 2021,2021,36,3,,,,319,324,,10.1007/s10654-021-00729-5,,,0,0,0
Phrenic nerve study as outcome in clinical trials for amyotrophic lateral sclerosis,"Pinto, Susana; De Carvalho, Mamede",,,,AMYOTROPHIC LATERAL SCLEROSIS AND FRONTOTEMPORAL DEGENERATION,,2021,,,,,,,,,10.1080/21678421.2021.1895842,,,0,0,0
"Traditional Chinese medicine auricular point acupressure for the relief of pain, fatigue, and gastrointestinal adverse reactions after the injection of novel coronavirus-19 vaccines: a structured summary of a study protocol for a multicentre, three-arm, single-blind, prospective randomized controlled trial","Fu, Qinwei; Xie, Hui; Zhou, Li; Li, Xinrong; Liu, Yang; Liu, Min; Wang, Chaoyu; Wang, Xiaocen; Wang, Zhiqiao; Tang, Jinfan; Xiao, Huan; Xiao, Zhiyong; Zhou, Jing; Feng, Chengzhi; Wang, Li; Ao, Zhimin; Chen, Xi; Su, Chang; Wu, Xuanyu; Zhao, Maolan; Hu, Sihan; Lin, Hanwen; Huang, Jiali; Xu, Guo; Zhang, Qinxiu; Jiang, Luyun",,,,TRIALS,FEB 25 2021,2021,22,1,,,,,,162,10.1186/s13063-021-05138-3,,,0,0,0
Health Care Workers' Reasons for Choosing Between Two Different COVID-19 Prophylaxis Trials in an Acute Pandemic Context: Single-Center Questionnaire Study,"Borobia, Alberto M.; Garcia-Garcia, Irene; Diaz-Garcia, Lucia; Rodriguez-Mariblanca, Amelia; Martinez de Soto, Lucia; Monserrat Villatoro, Jaime; Seco Meseguer, Enrique; Gonzalez, Juan J.; Frias Iniesta, Jesus; Ramirez Garcia, Elena; Ramon Arribas, Jose; Carcas-Sansuan, Antonio J.",,,,JOURNAL OF MEDICAL INTERNET RESEARCH,FEB 25 2021,2021,23,2,,,,,,e23441,10.2196/23441,,,0,0,0
Higher vs Lower Doses of Dexamethasone in Patients with COVID-19 and Severe Hypoxia (COVID STEROID 2) trial: Protocol for a secondary Bayesian analysis,"Granholm, Anders; Munch, Marie Warrer; Myatra, Sheila Nainan; Vijayaraghavan, Bharath Kumar Tirupakuzhi; Cronhjort, Maria; Wahlin, Rebecka Rubenson; Jakob, Stephan M.; Cioccari, Luca; Kjaer, Maj-Brit Norregaard; Vesterlund, Gitte Kingo; Meyhoff, Tine Sylvest; Helleberg, Marie; Moller, Morten Hylander; Benfield, Thomas; Venkatesh, Balasubramanian; Hammond, Naomi; Micallef, Sharon; Bassi, Abhinav; John, Oommen; Jha, Vivekanand; Kristiansen, Klaus Tjelle; Ulrik, Charlotte Suppli; Jorgensen, Vibeke Lind; Smitt, Margit; Bestle, Morten H.; Andreasen, Anne Sofie; Poulsen, Lone Musaeus; Rasmussen, Bodil Steen; Brochner, Anne Craveiro; Strom, Thomas; Moller, Anders; Khan, Mohd Saif; Padmanaban, Ajay; Divatia, Jigeeshu Vasishtha; Saseedharan, Sanjith; Borawake, Kapil; Kapadia, Farhad; Dixit, Subhal; Chawla, Rajesh; Shukla, Urvi; Amin, Pravin; Chew, Michelle S.; Gluud, Christian; Lange, Theis; Perner, Anders",,,,ACTA ANAESTHESIOLOGICA SCANDINAVICA,MAY 2021,2021,65,5,,,,702,710,,10.1111/aas.13793,,,0,0,0
Comparison Between Conventional Intervention and Non-immersive Virtual Reality in the Rehabilitation of Individuals in an Inpatient Unit for the Treatment of COVID-19: A Study Protocol for a Randomized Controlled Crossover Trial,"da Silva, Talita Dias; de Oliveira, Patricia Mattos; Dionizio, Josiane Borges; de Santana, Andreia Paiva; Bahadori, Shayan; Dias, Eduardo Dati; Ribeiro, Cinthia Mucci; Gomes, Renata de Andrade; Ferreira, Marcelo; Ferreira, Celso; Pena de Moraes, Ibis Ariana; Mota Silva, Deise Mara; Barnabe, Viviani; de Araujo, Luciano Vieira; Rossetti Santana, Heloisa Baccaro; de Mello Monteiro, Carlos Bandeira",,,,FRONTIERS IN PSYCHOLOGY,FEB 24 2021,2021,12,,,,,,,622618,10.3389/fpsyg.2021.622618,,,0,0,0
"Effects of High-Intensity Interval Training and Moderate-Intensity Training on Stress, Depression, Anxiety, and Resilience in Healthy Adults During Coronavirus Disease 2019 Confinement: A Randomized Controlled Trial","Borrega-Mouquinho, Yolanda; Sanchez-Gomez, Jesus; Pedro Fuentes-Garcia, Juan; Collado-Mateo, Daniel; Villafaina, Santos",,,,FRONTIERS IN PSYCHOLOGY,FEB 24 2021,2021,12,,,,,,,643069,10.3389/fpsyg.2021.643069,,,0,0,0
"Mycobacterium vaccae Nebulization in the Treatment of COVID-19: A Randomized, Double-Blind, Placebo-Controlled Trial","Lin, Yan-rong; Wu, Feng-yao; Xiao, Huan; Huang, Jian-lin; Gong, Bei-bei; Li, You-ling; Lu, Ning; Jiang, Xiao-hong; Sun, Qi-xiang; Zhang, Jian-feng; Hu, Jun-tao; Zhao, Yong-xiang; Li, Chao-qian",,,,JOURNAL OF AEROSOL MEDICINE AND PULMONARY DRUG DELIVERY,APR 1 2021,2021,34,2,,,,108,114,,10.1089/jamp.2020.1628,,,0,0,0
Factors Influencing Participation in COVID-19 Clinical Trials: A Multi-National Study,"Abdelhafiz, Ahmed Samir; Abd ElHafeez, Samar; Khalil, Mohammad Adnan; Shahrouri, Manal; Alosaim, Bandar; Salem, Raneem O.; Alorabi, Mohamed; Abdelgawad, Fatma; Ahram, Mamoun",,,,FRONTIERS IN MEDICINE,FEB 23 2021,2021,8,,,,,,,608959,10.3389/fmed.2021.608959,,,0,0,0
"Effect of Layperson-Delivered, Empathy-Focused Program of Telephone Calls on Loneliness, Depression, and Anxiety Among Adults During the COVID-19 Pandemic A Randomized Clinical Trial","Kahlon, Maninder K.; Aksan, Nazan; Aubrey, Rhonda; Clark, Nicole; Cowley-Morillo, Maria; Jacobs, Elizabeth A.; Mundhenk, Rhonda; Sebastian, Katherine R.; Tomlinson, Steven",,,,JAMA PSYCHIATRY,JUN 2021,2021,78,6,,,,616,622,,10.1001/jamapsychiatry.2021.0113,,,0,0,0
"An 8-Week Self-Administered At-Home Behavioral Skills-Based Virtual Reality Program for Chronic Low Back Pain: Double-Blind, Randomized, Placebo-Controlled Trial Conducted During COVID-19","Garcia, Laura M.; Birckhead, Brandon J.; Krishnamurthy, Parthasarathy; Sackman, Josh; Mackey, Ian G.; Louis, Robert G.; Salmasi, Vafi; Maddox, Todd; Darnall, Beth D.",,,,JOURNAL OF MEDICAL INTERNET RESEARCH,FEB 22 2021,2021,23,2,,,,,,e26292,10.2196/26292,,,0,0,0
COVID-19 trials: declarations of data sharing intentions at trial registration and at publication,"Li, Rebecca; von Isenburg, Megan; Levenstein, Marcia; Neumann, Stan; Wood, Julie; Sim, Ida",,,,TRIALS,FEB 18 2021,2021,22,1,,,,,,153,10.1186/s13063-021-05104-z,,,0,0,0
Repurposing without purpose? Early innovation responses to the COVID-19 crisis: Evidence from clinical trials,"Hanisch, Marvin; Rake, Bastian",,,,R & D MANAGEMENT,,2021,,,,,,,,,10.1111/radm.12461,,,0,0,0
Treating diabetic all-comers with contemporary drug-eluting stents: Prespecified comparisons from the BIO-RESORT and the BIONYX randomized trials,"Ploumen, Eline H.; Buiten, Rosaly A.; Kok, Marlies M.; Doggen, Carine J. M.; Roguin, Ariel; Jessurun, Gillian A. J.; Schotborgh, Carl E.; Danse, Peter W.; Benit, Edouard; Aminian, Adel; van Houwelingen, K. Gert; Stoel, Martin G.; Scholte, Martijn; Hartmanna, Marc; Linssen, Gerard C. M.; Zocca, Paolo; von Birgelen, Clemens",,,,INTERNATIONAL JOURNAL OF CARDIOLOGY,FEB 15 2021,2021,325,,,,,37,44,,10.1016/j.ijcard.2020.10.051,,,0,0,0
Use of hydroxychloroquine and chloroquine in patients with COVID-19: a meta-analysis of randomized clinical trials,"Bignardi, Paulo Roberto; Vengrus, Carolina Santos; Aquino, Bruno Matos; Cerci Neto, Alcindo",,,,PATHOGENS AND GLOBAL HEALTH,APR 3 2021,2021,115,3,,,,139,150,,10.1080/20477724.2021.1884807,,,0,0,0
"Efficacy of a Six-Week-Long Therapist-Guided Online Therapy Versus Self-help Internet-Based Therapy for COVID-19-Induced Anxiety and Depression: Open-label, Pragmatic, Randomized Controlled Trial","Al-Alawi, Mohammed; McCall, Roopa K.; Sultan, Alya; Al Balushi, Naser; Al-Mahrouqi, Tamadhir; Al Ghailani, Abdullah; Al Sabti, Hilal; Al-Maniri, Abdullah; Panchatcharam, Sathiya M.; Al Sinawi, Hamed",,,,JMIR MENTAL HEALTH,FEB 12 2021,2021,8,2,,,,,,e26683,10.2196/26683,,,0,0,0
Impact of intravenous lidocaine on clinical outcomes of patients with ARDS during COVID-19 pandemia (LidoCovid): A structured summary of a study protocol for a randomised controlled trial,"Muller, Marie; Lefebvre, Francois; Harlay, Marie-Line; Glady, Ludovic; Becker, Guillaume; Muller, Charlotte; Aberkane, Ouafaa; Tawk, Mira; Julians, Madoe; Romoli, Arnaud; Hecketsweiler, Stephane; Schneider, Francis; Pottecher, Julien; Chamaraux-Tran, Thien-Nga",,,,TRIALS,FEB 11 2021,2021,22,1,,,,,,131,10.1186/s13063-021-05095-x,,,0,0,0
"A double blinded placebo controlled comparative clinical trial to evaluate the effectiveness of Siddha medicines, Kaba Sura Kudineer (KSK) & Nilavembu Kudineer (NVK) along with standard Allopathy treatment in the management of symptomatic COVID 19 patients - a structured summary of a study protocol for a randomized controlled trial","Srivastava, Anurag; Rengaraju, Manickavasagam; Srivastava, Saurabh; Narayan, Vimal; Gupta, Vivek; Upadhayay, Rashmi",,,,TRIALS,FEB 11 2021,2021,22,1,,,,,,130,10.1186/s13063-021-05041-x,,,0,0,0
Management of Renin-Angiotensin-Aldosterone System blockade in patients admitted to hospital with confirmed coronavirus disease (COVID-19) infection (The McGill RAAS-COVID-19): A structured summary of a study protocol for a randomized controlled trial,"Aflaki, Mona; Flannery, Alexandria; Ferreira, Joao Pedro; Cheng, Matthew Pellan; Kronfli, Nadine; Marelli, Ariane; Zannad, Faiez; Brophy, James; Afillalo, Jon; Huynh, Thao; Giannetti, Nadia; Bessissow, Amal; Ezekowitz, Justin A.; Lopes, Renato D.; Ambrosy, Andrew P.; Craig, Morgan; Sharma, Abhinav",,,,TRIALS,FEB 5 2021,2021,22,1,,,,,,115,10.1186/s13063-021-05080-4,,,0,0,0
Transitional care from skilled nursing facilities to home: study protocol for a stepped wedge cluster randomized trial,"Toles, M.; Colon-Emeric, C.; Hanson, L. C.; Naylor, M.; Weinberger, M.; Covington, J.; Preisser, J. S.",,,,TRIALS,FEB 5 2021,2021,22,1,,,,,,120,10.1186/s13063-021-05068-0,,,0,0,0
Clinical trials in a COVID-19 pandemic: Shared infrastructure for continuous learning in a rapidly changing landscape,"Hedlin, Haley; Garcia, Ariadna; Weng, Yingjie; He, Ziyuan; Sundaram, Vandana; Bunning, Bryan; Balasubramanian, Vidhya; Cunanan, Kristen; Kapphahn, Kristopher; Gummidipundi, Santosh; Purington, Natasha; Boulos, Mary; Desai, Manisha",,,,CLINICAL TRIALS,JUN 2021,2021,18,3,,,,324,334,1.74077E+15,10.1177/1740774520988298,,,0,0,0
